"site","seasonality","mean_temp"
"FC_0064",33.7819672131148,7.71830601092897
"FC_0065",32.2655737704918,8.40136612021858
"FC_0066",30.8295081967213,8.77431693989071
"FC_0067",30.972131147541,8.95710382513662
"FC_0068",32.5344262295082,9.36789617486339
"FC_0069",33.3229508196721,8.1396174863388
"FC_0070",34.2885245901639,8.08224043715847
"FC_0071",35.2540983606557,7.80614754098361
"FC_0072",34.0803278688525,7.03715846994536
"FC_0073",35.4229508196721,6.4568306010929
"FC_0074",35.0327868852459,6.16830601092897
"FC_0075",35.1524590163934,6.88142076502733
"FC_0076",35.1032786885246,7.70245901639345
"FC_0077",36.0360655737705,7.71475409836066
"FC_0078",35.7836065573771,7.4698087431694
"FC_0079",35.9967213114754,7.40614754098361
"FC_0080",37.944262295082,5.1360655737705
"FC_0081",37.3918032786885,6.33196721311476
