"site","records","dataset","lat","lon","seasonality","mean_temp"
"r_Silwood Park",34,"rothamsted",51.40941,-0.643357,15.9918032786885,14.2367486338798
"r_Writtle",28,"rothamsted",51.733599,0.429233,16.4950819672131,13.8434426229508
"r_Starcross",16,"rothamsted",50.629596,-3.45463,13.3196721311475,14.0648907103825
"r_Rothamsted Tower",24,"rothamsted",51.806997,-0.360091,16.3737704918033,13.4375683060109
"r_Wye",27,"rothamsted",51.185507,0.944941,15.8213114754098,13.6174863387978
"r_Ayr",22,"rothamsted",55.476826,-4.567922,13.0131147540984,12.3993169398907
"r_Newcastle",22,"rothamsted",55.213254,-1.685083,14.0213114754098,12.0590163934426
"u_Altajskij_Bele",47,"ussr",51.420807,87.7962,26.1590163934426,7.7551912568306
"u_Altajskij_Yailu",66,"ussr",51.77066,87.606818,28.9049180327869,9.58852459016394
"u_Amga(Hatin)",39,"ussr",58.97,122.81,52.1196721311475,-1.71680327868852
"u_Bajkal'skij",7,"ussr",51.343246,105.157461,34.3016393442623,1.31079234972678
"u_Barguzinskij_Plant_Loc-4",79,"ussr",54.5,109.833333,39.0377049180328,2.1818306010929
"u_Bolshaya Kokshaga",42,"ussr",56.676389,47.2725,34.9655737704918,7.61775956284153
"u_Braslavskie Ozera",15,"ussr",55.596156,27.054017,28.0852459016393,9.63196721311476
"u_Brjanskij les",39,"ussr",52.5,35,30.5491803278689,9.925
"u_Bryanskiy Les_Plant_Loc-1",17,"ussr",52.43897,34.12868,30.2213114754098,10.0333333333333
"u_Bryanskiy Les_Plant_Loc-11",1,"ussr",52.44945,34.111164,30.272131147541,10.0209016393443
"u_Bryanskiy Les_Plant_Loc-12",1,"ussr",52.448513,34.108351,30.272131147541,10.0209016393443
"u_Bryanskiy Les_Plant_Loc-13",5,"ussr",52.43727,34.12359,30.272131147541,10.0209016393443
"u_Bryanskiy Les_Plant_Loc-14",5,"ussr",52.43904,34.12416,30.272131147541,10.0209016393443
"u_Bryanskiy Les_Plant_Loc-15",11,"ussr",52.43701,34.12655,30.2213114754098,10.0333333333333
"u_Bryanskiy Les_Plant_Loc-16",4,"ussr",52.43945,34.12618,30.2213114754098,10.0333333333333
"u_Bryanskiy Les_Plant_Loc-17",3,"ussr",52.43496,34.12546,30.2213114754098,10.0333333333333
"u_Bryanskiy Les_Plant_Loc-18",4,"ussr",52.44349,34.12485,30.272131147541,10.0209016393443
"u_Bryanskiy Les_Plant_Loc-19",5,"ussr",52.447168,34.123007,30.272131147541,10.0209016393443
"u_Bryanskiy Les_Plant_Loc-21",1,"ussr",52.44059,34.13345,30.2213114754098,10.0333333333333
"u_Bryanskiy Les_Plant_Loc-22",1,"ussr",52.449432,34.129778,30.2213114754098,10.0333333333333
"u_Bryanskiy Les_Plant_Loc-23",2,"ussr",52.44614,34.12209,30.272131147541,10.0209016393443
"u_Bryanskiy Les_Plant_Loc-3",4,"ussr",52.44768,34.12954,30.2213114754098,10.0333333333333
"u_Bryanskiy Les_Plant_Loc-4",14,"ussr",52.45091,34.12403,30.272131147541,10.0209016393443
"u_Bryanskiy Les_Plant_Loc-7",2,"ussr",52.464121,34.1191202,30.0688524590164,9.98688524590164
"u_Bryanskiy Les_Plant_Loc-9",1,"ussr",52.4645448,34.1155688,30.0688524590164,9.98688524590164
"u_CarpathianBiosphereReserve_Kuzi-Tribushansky_Masyv",51,"ussr",47.96277,24.138056,22.8311475409836,9.66024590163935
"u_Carpatian National Park",1,"ussr",48.382778,24.543889,23.0639344262295,9.58101092896175
"u_Central'no-Chernozemnyj_Dubrava",94,"ussr",51.563932,36.085066,31.0868852459016,10.1520491803279
"u_Central'no-Chernozemnyj_Step'",137,"ussr",51.57339,36.092391,31.0868852459016,10.1520491803279
"u_Central'no-Lesnoj",23,"ussr",56.5,32.916667,29.8409836065574,8.65122950819672
"u_Darvinskij",57,"ussr",58.583333,37.983333,32.8016393442623,7.88278688524591
"u_Feofaniya",36,"ussr",50.3402932,30.486718,28.6672131147541,11.7445355191257
"u_Il'menskij",32,"ussr",55.167692,60.229011,34.7573770491803,7.09139344262295
"u_Kanivsky",85,"ussr",49.744444,31.455833,29.1967213114754,11.8463114754098
"u_Kavkazskij_Babuk-Aul",8,"ussr",43.85,39.8,22.0590163934426,13.1765027322404
"u_Kavkazskij_Chernorech'e",10,"ussr",43.93333,40.683333,23.9836065573771,11.2144808743169
"u_Kavkazskij_Chvezhipse",4,"ussr",43.7,40.05,22.3934426229508,14.1579234972678
"u_Kavkazskij_Guzeripl'",12,"ussr",44,40.133333,23.7295081967213,11.707650273224
"u_Kavkazskij_Hosta",4,"ussr",43.51667,39.86667,19.6262295081967,17.5280054644809
"u_Kavkazskij_Karapyr'",8,"ussr",43.66667,40.83333,22.9754098360656,10.0890710382514
"u_Kavkazskij_Tret'ja Rota",6,"ussr",43.88333,40.716667,24.044262295082,10.6142076502732
"u_Kavkazskij_Umpyr'",4,"ussr",43.78333,40.63333,23.0344262295082,9.93169398907104
"u_Kavkazskij_Zakan",2,"ussr",43.7,40.78333,22.227868852459,8.30956284153006
"u_Kedrovaya Pad",26,"ussr",43.083333,131.5,32.8049180327869,9.16598360655738
"u_Kenozerskij",16,"ussr",62.0775,38.194167,32.8393442622951,6.33524590163935
"u_Kivach",113,"ussr",62.2961,33.921,30.7131147540984,6.24781420765028
"u_Kordon Berezovy",15,"ussr",44.720822,34.229474,24.227868852459,13.9217213114754
"u_Kostomukshskij",103,"ussr",64.47317,30.274215,30.416393442623,4.97021857923498
"u_Kronockij",4,"ussr",54.666667,161,21.7540983606557,3.99877049180328
"u_Laplandskij",29,"ussr",67.816667,32.469444,26.9622950819672,2.21775956284153
"u_Malaja Sos'va",58,"ussr",62.082945,64.096416,41.2016393442623,2.94726775956284
"u_Manushkino-Nyandoma (Arkhangelsk)",31,"ussr",61.666667,40.166667,33.0508196721311,5.8051912568306
"u_Mariy Chorda_Plants_Loc-4",8,"ussr",56.15,48.366667,35.4540983606557,7.59562841530055
"u_Meshchera",27,"ussr",55.561111,40.253889,33.383606557377,8.67950819672132
"u_Mordovskij",11,"ussr",60.219514,24.921718,26.1262295081967,8.51612021857924
"u_Nurgush",31,"ussr",58.012063,48.456629,35.316393442623,6.49248633879782
"u_Olekma(Bederdjah)",39,"ussr",59.19,121.77,54.1196721311475,-0.935655737704915
"u_Olekma(Tas-Hajko)",39,"ussr",58.17,121.61,50.716393442623,0.548633879781424
"u_Olekminskij",6,"ussr",58.656059,122.257667,49.5672131147541,-0.669125683060106
"u_Orlovskoe Polesie",19,"ussr",53.283333,35.3,30.2360655737705,9.52199453551913
"u_Pechoro-Ilychskij",56,"ussr",62.575,58.2583,40.3606557377049,3.30245901639345
"u_Petrozavodsk",44,"ussr",61.783333,34.333333,30.2213114754098,6.5922131147541
"u_Pinezhskij",79,"ussr",64.676667,43.199167,32.1049180327869,4.42131147540984
"u_Polistovskij",10,"ussr",57.170833,30.556944,29.2819672131148,9.35642076502733
"u_Prioksko-Terrasnyj",99,"ussr",54.914722,37.571944,30.9934426229508,9.06174863387979
"u_Sihotje-Alinskij",94,"ussr",45.333333,136.15,38.0131147540984,3.52650273224044
"u_Stolby",67,"ussr",55.883333,92.766667,35.9344262295082,4.52814207650274
"u_Tigirekskij_Tigirek",10,"ussr",50.950128,82.976295,33.1655737704918,7.55655737704918
"u_Tuolba",39,"ussr",59.22,122.55,53.2540983606557,-1.89084699453552
"u_Ugra",28,"ussr",54.15,35.866667,30.6868852459016,9.21489071038252
"u_Visherskij",53,"ussr",61.483333,59.216667,37.8393442622951,2.67827868852459
"u_Visimskij",23,"ussr",57.4276,59.6207,35.9065573770492,5.45355191256831
"u_Volzhsko-Kamskiy",32,"ussr",55.302778,49.286111,35.472131147541,8.15396174863388
"u_Voronezhskij zapovednik",13,"ussr",52.1,39.433333,33.2803278688525,10.9553278688525
"u_Zejskij",5,"ussr",53.962864,127.372523,44.1688524590164,1.9724043715847
"u_Zhiguli_Plants_Route_11",82,"ussr",53.394857,49.77872,35.3409836065574,8.53825136612022
"p_2761",36,"pep",49.4667,7.56667,21.9114754098361,13.7577868852459
"p_1129",36,"pep",53.15,8.2,20.1344262295082,13.2116120218579
"p_1876",35,"pep",51.4,7.43333,20.2754098360656,13.7512295081967
"p_2763",38,"pep",49.5,7.76667,22.0295081967213,13.7700819672131
"p_2225",38,"pep",50.95,9.86667,22.0868852459016,12.7997267759563
"p_4172",38,"pep",49.3333,10.8,23.7704918032787,13.2565573770492
"p_118",39,"pep",54.6167,8.96667,19.3606557377049,11.7498633879781
"p_152",36,"pep",54.1,10.8167,20.0360655737705,12.2766393442623
"p_1713",36,"pep",51.5833,9.3,21.7819672131148,12.5978142076503
"p_855",37,"pep",53.5667,9.51667,20.844262295082,13.0571038251366
