"","station","year","species","first_estimate","first_lower","first_upper","last_estimate","last_lower","last_upper","count","dates"
"1851","AA",1990,"LISP",119.300930795983,31.5665375813156,126.677154821512,146.385123443194,188.751962565341,143.109350923048,5,4
"1852","AA",1990,"MAWA",125.894413351674,122.979090643591,126.871617251982,166.76993475083,185.107386028689,166.619950022861,88,17
"1853","AA",1990,"MODO",105.582519257637,99.3045426255478,107.795970475983,131.920472205269,135.036250109407,131.021829767178,24,13
"1854","AA",1990,"MOWA",147.392499593526,144.666668265086,151.67698581551,168.182187937638,173.587520820226,166.350210138511,26,8
"1855","AA",1990,"MYWA",107.610905522556,72.750579319327,113.417113479575,142.728145610354,183.51377949084,135.933597071703,7,4
"1856","AA",1990,"NAWA",NA,NA,NA,NA,NA,NA,1,1
"1857","AA",1990,"NOCA",107.127558302196,103.29892197414,107.994441487112,171.62977398283,193.898260339344,165.277765025406,25,17
"1858","AA",1990,"NOMO",101.621365843303,5.11038089026468,114.211101678836,185.463577318412,326.724417988514,166.680932809928,6,6
"1859","AA",1990,"NOPA",NA,NA,NA,NA,NA,NA,4,4
"1860","AA",1990,"NOWA",126.888858577014,123.658866367116,127.960934701049,159.215515610241,163.980906562132,157.142911435038,34,16
"1861","AA",1990,"OROR",128.608658768496,125.818396277323,128.99865461895,149.587772295799,165.321647743058,145.809544521054,12,8
"1862","AA",1990,"OVEN",119.982255967889,117.231587050978,120.952521736748,152.029697250912,155.576302782881,151.07850033334,48,17
"1863","AA",1990,"PIWA",NA,NA,NA,NA,NA,NA,2,1
"1864","AA",1990,"PRAW",NA,NA,NA,NA,NA,NA,5,2
"1865","AA",1990,"RBGR",NA,NA,NA,NA,NA,NA,1,1
"1866","AA",1990,"RBNU",NA,NA,NA,NA,NA,NA,4,4
"1867","AA",1990,"RCKI",106.335037028526,104.464712957513,106.989032123442,146.094635189856,160.528938610963,145.181676209975,47,12
"1868","AA",1990,"REVI",45.9229677468047,-234.569627187455,110.259436083106,160.30253551998,199.795054916419,155.320538197943,6,3
"1869","AA",1990,"RSTO",108.65856887488,104.523163760723,109.946580886809,148.031077319571,157.146761158771,145.435915574299,34,17
"1870","AA",1990,"RTHU",123.567463516978,116.713189908499,126.615681748307,155.89266997206,158.687029306266,155.024516365178,33,14
"1871","AA",1990,"RWBL",109.436447477466,99.1657657184201,112.874394565404,169.552094716318,182.496844101016,165.253152875804,21,12
"1872","AA",1990,"SCJU",NA,NA,NA,NA,NA,NA,3,2
"1873","AA",1990,"SOSP",106.750525649672,105.712706080829,106.995873073459,167.526463076274,171.308744592868,166.051125150843,74,30
"1874","AA",1990,"SOVI",NA,NA,NA,NA,NA,NA,2,1
"1875","AA",1990,"SSHA",NA,NA,NA,NA,NA,NA,4,3
"1876","AA",1990,"STSP",NA,NA,NA,NA,NA,NA,4,3
"1877","AA",1990,"SWSP",94.1609003618695,67.9872985213576,103.537183560022,143.802026032151,147.576120820314,143.010688120292,23,9
"1878","AA",1990,"SWTH",133.894684929293,132.888659014146,133.999298607089,172.34044756266,192.568603959,168.866640868064,37,11
"1879","AA",1990,"TEWA",NA,NA,NA,NA,NA,NA,1,1
"1880","AA",1990,"TRES",NA,NA,NA,NA,NA,NA,2,2
"1881","AA",1990,"TRFL",132.143846755535,123.353682196431,134.349538096863,163.702381506951,165.850469517394,163.017837540309,40,9
"1882","AA",1990,"VEER",132.929862019002,131.114746335316,133.951712995409,146.981408488935,149.799645389098,145.181691781336,28,8
"1883","AA",1990,"WCSP",NA,NA,NA,NA,NA,NA,2,2
"1884","AA",1990,"WEVI",121.645742833843,95.1950169870573,126.641609935566,161.141622330088,221.464365871573,148.337092189965,7,5
"1885","AA",1990,"WIWA",131.108397063377,124.17796538514,133.639428940418,145.118444231809,145.774078000142,145.001956668414,34,8
"1886","AA",1990,"WOTH",129.207237638819,83.5300978156565,130.997629151699,274.137020934677,1669.87189670571,237.192395086675,5,5
"1887","AA",1990,"WTSP",102.866537561285,92.5926272854741,104.851300201315,146.131443793678,149.684526742455,144.235556263924,136,23
"1888","AA",1990,"YBFL",142.255461784479,135.843752880895,144.702776149635,166.207574072308,171.505526499839,163.245723158991,22,5
"1889","AA",1990,"YPWA",NA,NA,NA,NA,NA,NA,1,1
"1890","AA",1990,"YSFL",106.967097438011,94.4932023333988,108.985721640598,179.856653765792,267.019842149317,164.401986102001,11,8
"1891","AA",1990,"YWAR",127.782823996127,126.923735520685,127.999545121709,170.044324202989,188.494417263274,166.138657735943,36,15
"1892","AA",1991,"ACFL",146.556484688318,109.038554550546,149.622889777913,159.405201014425,178.73095708248,158.027620425192,5,4
"1893","AA",1991,"AMGO",106.160787836339,-176.516053242857,124.251240144508,170.334073714659,280.46040773846,159.0309384982,5,3
"1894","AA",1991,"AMRE",124.62665910528,119.52144509368,127.394386995683,164.600183006453,172.034226150902,162.857450486065,78,19
"1895","AA",1991,"AMRO",103.826787923701,98.2676151132396,105.875643763247,165.34630003387,166.546372890565,165.002146290257,61,31
"1896","AA",1991,"BAOR",114.005423751915,90.8426412789085,126.482536255004,167.545421080277,179.760952811572,164.129594854493,14,10
"1897","AA",1991,"BAWW",120.855596707607,117.322365985927,121.696035415705,163.88100955954,NA,NA,94,17
"1898","AA",1991,"BBWA",NA,NA,NA,NA,NA,NA,3,2
"1899","AA",1991,"BCCH",105.100492863978,103.660212666189,105.945239256047,169.199521863042,177.736406727016,164.664659840874,91,30
"1900","AA",1991,"BHCO",NA,NA,NA,NA,NA,NA,3,3
"1901","AA",1991,"BLBW",NA,NA,NA,NA,NA,NA,2,1
"1902","AA",1991,"BLJA",102.786535519714,96.5050060432603,105.308263701953,167.293497270315,174.708152733401,164.709730669196,146,33
"1903","AA",1991,"BLPW",133.832247723319,132.669009714396,133.999627073199,171.891849290726,190.733104018313,166.991490966829,26,13
"1904","AA",1991,"BRCR",NA,NA,NA,NA,NA,NA,4,3
"1905","AA",1991,"BRTH",90.9048929457545,32.6178037806565,104.982997267437,165.93898383376,177.841513930068,164.019438920723,13,10
"1906","AA",1991,"BTBW",132.973815466064,130.186304181309,133.932858992465,139.135504528795,149.644930011465,137.979387890518,9,4
"1907","AA",1991,"BTNW",NA,NA,NA,NA,NA,NA,1,1
"1908","AA",1991,"BWWA",NA,NA,NA,NA,NA,NA,1,1
