"site","species","phenophase","mean_slope","mean_p","mean_se","sigma_slope","sigma_se","sigma_p","bp_p","n","mean_doy","min_year","max_year","mean_tmax","lat","lon","dataset","mean_slope_temp","mean_se_temp","mean_p_temp","sigma_slope_temp","sigma_se_temp","sigma_p_temp","bp_p_temp","n_temp"
"p_6596","Sorbus aucuparia","first_flower",-0.053220208252995,0.719177393185098,0.146414288265177,-0.00927979174700505,0.0972767646427349,0.924731934322899,0.750903603278977,28,143.178571428571,1975,2010,17.0642857142857,48.45,14.3333,"pep",-1.9233798294637,0.731189941716408,0.0141397548112714,-0.076620170536298,0.978289021163085,0.938172702359349,0.232338297833379,28
"p_6596","Aesculus hippocastanum","first_flower",-0.566098089812581,4.6113041259459e-06,0.10289167831751,-0.0994523085209758,0.061922365763939,0.118080798902222,0.219446898002249,34,136.941176470588,1975,2010,16.9323529411765,48.45,14.3333,"pep",-3.0532548906019,0.625706829266838,2.8182129089852e-05,-1.20552148036585,0.582225665864798,0.0465502870458916,0.00817800401920986,34
"p_6596","Malus domestica","first_flower",-0.615588184373868,8.76888797868908e-07,0.101351939199877,0.0604527179841251,0.13394505169807,0.65479940836797,0.744151635005685,34,132.735294117647,1975,2010,16.9323529411765,48.45,14.3333,"pep",-3.09667529245239,0.658266902388262,4.68426716775776e-05,-0.792213596436496,0.850789214195071,0.35874744861505,0.63415114877941,34
"p_6596","Syringa vulgaris","first_flower",-0.648628085025441,3.41014638579014e-05,0.135383794956273,-0.0701382614484764,0.109361312377458,0.525728662771859,0.426117918789753,35,141.285714285714,1975,2010,16.9828571428571,48.45,14.3333,"pep",-3.86039282911315,0.748824626525278,1.16705919925433e-05,-1.17746599984485,0.622906550482129,0.0675302509286104,0.232977745259225,35
"p_6596","Sambucus nigra","first_flower",-0.449368080001952,0.00290951379058373,0.139393079425344,-0.00492363555764452,0.130174951861402,0.970063612818201,0.43690386323737,34,162.735294117647,1975,2010,19.7088235294118,48.45,14.3333,"pep",-3.32335773927146,0.918506851638296,0.00100984775901513,-0.735325222353471,0.575005735037733,0.210159370971312,0.233585448520321,34
"p_19525","Aesculus hippocastanum","first_leaf",0.23183962264153,0.456895567789316,0.301573169873268,-0.279127358490578,0.424549350790973,0.523291694664235,0.0918265627386331,14,96.6428571428571,1976,2015,15.9142857142857,44.8,15.8666,"pep",-0.833230159712757,2.22519238967635,0.714600486242002,-0.779673066093695,1.32371600222298,0.566782017938496,0.147039760729231,14
"p_6585","Prunus domestica","first_flower",-0.535336436732969,0.0170622593771643,0.203702865469697,-0.342317626628918,0.114714440186627,0.00795591142255159,0.0223565200126558,20,113.5,1976,2014,16.095,46.7167,15.2667,"pep",-5.01907231619601,1.27008633219435,0.000935110566002672,-0.531645770386759,1.17483490103725,0.65629518885357,0.409843752111822,20
"p_1758","Zea mays","first_leaf",0.303653497980598,0.111189612440051,0.184389324793799,-0.0804193166519153,0.201951143958745,0.693605549520117,0.649775971243672,29,134.137931034483,1976,2016,16.3620689655172,51.45,8.35,"pep",0.710702549292967,0.992224624987302,0.479973453383486,0.0531191614267627,1.36028231048241,0.969137760060524,0.853823280338242,29
"p_6585","Sorbus aucuparia","first_flower",-0.221808593144108,0.251955354308483,0.181186637155792,-0.109598779794216,0.207674272727699,0.610439305863016,0.226597655604198,11,127,1976,2014,19.9636363636364,46.7167,15.2667,"pep",-1.17256082267369,1.04197069425279,0.289562942304468,-1.26776607307081,1.35009217956896,0.372235255790597,0.299735299543366,11
"p_5158","Acer platanoides","first_flower",-0.736734241719287,5.41001503865898e-06,0.126745938427904,-0.0557648043523756,0.186110961142636,0.76703750431745,0.253450808329617,26,105.538461538462,1976,2017,12.7615384615385,53.8167,12.0667,"pep",-3.7288596739438,0.969870945060279,0.000779412588873868,-0.530399585315478,0.865766936527498,0.545879096919048,0.0219296002835816,26
"p_6585","Picea abies","first_flower",-0.188803772831623,0.199917990708294,0.142661495699198,0.159308887188416,0.151299428578831,0.304334832566732,0.162802071014333,23,124.565217391304,1976,2013,20.5173913043478,46.7167,15.2667,"pep",-2.2888703687458,1.0210538309054,0.0359120946705463,0.0188219389465133,0.928681801802159,0.984021422413685,0.791887809823342,23
"p_19525","Aesculus hippocastanum","first_flower",-0.065438457474916,0.812678873013545,0.26959034050183,-0.146682754646295,0.327705049050665,0.663124077225159,0.595259417384171,13,119.230769230769,1976,2015,16.0307692307692,44.8,15.8666,"pep",-4.88129899216125,1.40155056679957,0.0051232530219445,1.41499730413505,1.29896589988257,0.29929930734515,0.20177867982144,13
"p_6585","Robinia pseudoacacia","first_flower",-0.477274375649743,0.00556247927406133,0.156026473818602,-0.0941541957788286,0.140313046085545,0.508885181384612,0.11043732941103,25,142.76,1976,2016,20.592,46.7167,15.2667,"pep",-2.91886316754527,1.08429856605067,0.0130148003485857,-1.013705388533,1.04215584551141,0.340821750312856,0.037311859548761,25
"p_6585","Vitis vinifera","first_flower",-0.182077643571226,0.16280756262378,0.124800019975983,-0.184589023095442,0.118633841212933,0.138138023414125,0.207610735256268,19,160.631578947368,1976,2015,24.0736842105263,46.7167,15.2667,"pep",-2.1315744897095,1.44430563168506,0.158267112663713,-1.98607256911403,1.97515533605848,0.328741839224117,0.476372478139251,19
"p_19525","Betula pendula","first_flower",-0.35262287689765,0.223972802708685,0.275003398555129,-0.277857107069495,0.250485403376015,0.289047612365621,0.0603459961643297,14,91.5714285714286,1977,2015,12.2285714285714,44.8,15.8666,"pep",-3.58894328845369,1.12281127831201,0.00768383913172374,-0.581264207029192,0.696533357983496,0.420296684341605,0.346085345095216,14
"p_5236","Anemone nemorosa","first_flower",-0.554643389102505,0.0806497585912986,0.304102817733425,-0.233214817673932,0.336285877457601,0.494652504471298,0.498328199856238,26,105.346153846154,1977,2017,12.9230769230769,53.5167,13.95,"pep",-3.46555490436356,2.21318828221011,0.13047162506425,-0.465554904363559,2.31064249063608,0.842018966023725,0.994087717486841,26
"p_6620","Quercus robur","first_leaf",-0.0807786930561724,0.470133686736264,0.110470486668024,-0.125103659885004,0.0706311269390538,0.0863555064514787,0.13666664654993,33,125.121212121212,1977,2016,17.330303030303,46.95,14.4167,"pep",-0.791115949110296,0.731668187824521,0.287926027983798,-0.261515629837067,0.876900390712532,0.76751950413028,0.972726002944424,33
"p_6620","Prunus domestica","first_flower",-0.439556207441877,0.000155148017153117,0.101625857823317,-0.0934023612880311,0.10637929134921,0.386914819007644,0.0217595542259683,32,120.28125,1977,2016,12.690625,46.95,14.4167,"pep",-2.13344485963237,0.841676903786433,0.0167051816672988,-1.0372868476847,0.536025658293324,0.0624492878167757,0.272855081185401,32
"p_19297","Zea mays","first_leaf",-0.225848690591664,0.0366182029679369,0.103069678419011,0.00900420303914038,0.0478918392976979,0.852177263957376,0.355419767264269,31,131.354838709677,1977,2013,20.0516129032258,45.267,15.283,"pep",-1.17142776491842,0.620574371431723,0.0691169181693789,-0.0423955068539067,0.397613135657963,0.915820667875829,0.586210175949973,31
"p_4852","Pinus sylvestris","first_flower",-0.535083566458659,0.000154852696406922,0.119371719247632,-0.0874219926834503,0.157689901881061,0.584440397177344,0.44256135597025,26,132.461538461538,1978,2013,19.8192307692308,51.9667,14.5667,"pep",-2.76025729735271,0.786033814219009,0.00179011501581867,-1.12389366098908,0.756584789481395,0.150434192589769,0.0485080267144991,26
"p_4852","Pinus sylvestris","first_leaf",-0.582907644319881,5.22568367717395e-07,0.0938844068264102,-0.0324769710647336,0.0681765381140344,0.63695285344098,0.6879892652172,35,132.314285714286,1978,2013,19.5771428571429,51.9667,14.5667,"pep",-2.67364669602711,0.607335480947354,0.000106033370525064,-1.13205231832493,0.838832238354968,0.186344164501089,0.387266966050794,35
"p_6596","Robinia pseudoacacia","first_flower",-1.45688781970105,0.00263415402182922,0.414023970815621,-0.596687308639782,0.460123623414646,0.212026868614061,0.148452583162338,19,156.842105263158,1978,2010,20.0105263157895,48.45,14.3333,"pep",-6.88853751516201,2.71022976998332,0.0210672883187729,2.68853751516201,3.4589489906896,0.447681405327163,0.726045897354077,19
"p_5236","Pinus sylvestris","first_flower",-0.590052956270143,0.00132934313936356,0.160577262466213,0.150052956270144,0.145730019860958,0.314355751568798,0.150260637395704,24,136,1978,2013,17.8125,53.5167,13.95,"pep",-3.75302715329719,0.996598291233119,0.00106584286037284,0.827216519148749,0.722569389915436,0.264583642198449,0.677018415055663,24
